Bet id, date,total odds,message,Amount,Possible win,Bet type,Status
4077711773,2024-04-10 15:39:08,4.93,54374940410153908#1024#41907879#over 0.5#42722851#over 0.5#42722863#over 0.5#46477187#over 0.5#49214621#Atletico Madrid SRL or Borussia Dortmund SRL#49213973#yes#49213525#Atletico Mineiro MG Srl or CA Rosario Central Srl#49213975#over 1.5#49213885#over 1.5,2.000,7.37,Prematch Bet,Open
4077705459,2024-04-10 15:35:24,144.98,54374940410153523#1024#48818847#GLASGOW RANGERS#48395245#over 0.5#48198571#over 0.5#48613059#over 0.5#47815295#over 0.5#41888623#Ipswich or draw#41888629#over 1.5#48516801#Saarbrucken or Unterhaching#46931055#Justo Jose de Urq. or Claypole#46931051#yes#48519995#Santa Tecla FC or CD Fuerte San Francisco U20#49240859#yes#47256283# Union Santa Fe Reserve or draw#47256069#Velez Sarsfield Reserves or draw#49008881#America FC MG U20 or RB Bragantino SP U20#46931053#Yupanqui or draw#49241239#draw or Malaga B#48519991#CD Luis Angel Firpo or 11 Deportivo FC#49189701#yes#49020135#Norderstedt or Bremer SV#49008877#yes#49008871#Santos FC SP U20 or draw#48562993#Aris Limassol or Omonia#48937251#Totton or draw,5.000,515.86,Prematch Bet,Open
4077697798,2024-04-10 15:30:59,487.68,54374940410153059#1024#49167719#Strommen#49167791#Vard Haugesund#49167785#Egersund#48457227#over 0.5#41907873#over 0.5#49167735#over 0.5#48516801#over 0.5#41907879#over 0.5#49167703#over 0.5#46477187#yes#49167781#draw or Kristiansund BK#48394825#yes#47815293#Kauno Zalgiris or draw#47815295#over 1.5#49214621#Atletico Madrid SRL or Borussia Dortmund SRL#42722863#Great Olympics or Bechem#49167733#Nordstrand or Kjelsaas#48394817#Kalju or Kalev#42722851#yes#49241239#yes#48519991#CD Luis Angel Firpo or 11 Deportivo FC#49213973#over 1.5#49213525#Atletico Mineiro MG Srl or CA Rosario Central Srl#49213975#over 1.5#49213885#Cerro Porteno Srl or draw#49020135#Norderstedt or Bremer SV#48562993#yes,3.000,1042.21,Prematch Bet,Open
4077678787,2024-04-10 15:19:39,19.00,54374940410151939#1024#41907879#Celje#46477187#Partizan#49213975#Penarol Montevideo SRL#42722863#over 0.5#42722851#over 0.5#49214621#yes#49213973#over 1.5#49213525#yes#49213885#yes,10.000,136.91,Prematch Bet,Open
4077018430,2024-04-10 05:42:32,7.90,54374940410054232#1024#48860583#Guandong GZ-Power FC#48860575#Ganzhou Ruishi FC#47659999#over 0.5#47994075#over 0.5#47297739#over 0.5#48462055#draw or Sukhothai#47297727#draw or Omiya A#48860587#Hunan Xiangtao or draw#48453157#Western United FC Youth or draw#48462063#draw or Chonburi#48860579#draw or Jiangxi Dark Horse Junior#49343513#draw or Gold Coast Utd Women#49307883#over 1.5,2.000,11.60,Prematch Bet,Lost
4077016071,2024-04-10 05:35:26,92.09,54374940410053526#1024#41907879#Celje#46477187#Partizan#49213975#Penarol Montevideo SRL#47297727#over 0.5#47297739#over 0.5#48860583#Guandong GZ-Power FC or draw#48860575#Ganzhou Ruishi FC or draw#48462055#draw or Sukhothai#47659999#over 1.5#47994075#over 1.5#49214621#over 1.5#42722863#Great Olympics or draw#48860587#Hunan Xiangtao or draw#48453157#Western United FC Youth or draw#48462063#draw or Chonburi#48462057#Bangkok Utd or draw#42722851#Bibiani Gold Stars FC or draw#49213973#CSD Independiente del Valle SRL or draw#49213525#over 1.5#49213885#over 1.5#48562997#Pafos or draw#47219573#draw or Busan#48860579#draw or Jiangxi Dark Horse Junior#49343513#draw or Gold Coast Utd Women#49307883#Chengdu Rongcheng FC Srl or draw#42722859#over 1.5,5.000,327.98,Prematch Bet,Lost
4077005949,2024-04-10 04:58:46,41.27,54374940410045846#1024#46477187#Partizan#47219563#over 0.5#47297727#over 0.5#48722695#over 0.5#42722859#over 0.5#47297733#over 0.5#47659999#over 0.5#47297739#over 0.5#47219571#over 0.5#41907879#over 0.5#47994075#over 0.5#48860583#Guandong GZ-Power FC or draw#48860575#Ganzhou Ruishi FC or draw#48462055#draw or Sukhothai#49214625#over 1.5#49214621#over 1.5#42722863#over 1.5#48860587#Hunan Xiangtao or draw#48453157#Western United FC Youth or draw#48462063#draw or Chonburi#48462057#Bangkok Utd or draw#42722851#Bibiani Gold Stars FC or draw#48562997#Pafos or draw#47219573#over 1.5#47219569#FC Anyang or draw#48860579#draw or Jiangxi Dark Horse Junior#49343513#draw or Gold Coast Utd Women#49307883#Chengdu Rongcheng FC Srl or draw,3.000,88.69,Prematch Bet,Lost
4077005210,2024-04-10 04:56:17,34.81,54374940410045616#1024#46477187#Partizan#47297739#over 0.5#47297727#over 0.5#47219569#over 0.5#47219573#over 0.5#47659999#over 0.5#48860583#Guandong GZ-Power FC or draw#48860575#Ganzhou Ruishi FC or draw#41907879#Celje or draw#48462055#draw or Sukhothai#48722695#CA Junior or draw#47994075#Yokohama F Marinos or draw#49214625#Paris Saint-Germain SRL or draw#49214621#over 1.5#48860587#Hunan Xiangtao or draw#48453157#Western United FC Youth or draw#47297733#over 1.5#48462063#draw or Chonburi#48462057#Bangkok Utd or draw#47219563#Suwon Bluewings or draw#47219571#draw or Chungnam Asan FC#48860579#draw or Jiangxi Dark Horse Junior#49343513#draw or Gold Coast Utd Women#49307883#over 1.5,10.000,249.35,Prematch Bet,Lost
4076998913,2024-04-10 04:29:34,2.51,54374940410042934#1024#48860583#Guandong GZ-Power FC#48860575#Ganzhou Ruishi FC#48722695#over 0.5#48860587#Hunan Xiangtao or draw,2.000,3.92,Prematch Bet,Lost
4076992752,2024-04-10 04:03:58,3.03,54374940410040358#1024#46511959#Cancun FC#48860583#Guandong GZ-Power FC#48860575#Ganzhou Ruishi FC#48462055#draw or Sukhothai,4.000,9.34,Prematch Bet,Lost
