Home Team, Away Team, Home odd, Away odd, Draw,Competition Name,Category,start time ,game id,match id, parent match id
Sheff Utd,CHELSEA,6.60,1.41,5.20,Premier League,England,2024-04-07 19:30:00,63539,7072510,41763539
MAN UTD,LIVERPOOL,4.50,1.64,4.60,Premier League,England,2024-04-07 17:30:00,63537,7072511,41763537
TOTTENHAM,Nottingham Forest,1.40,6.80,5.20,Premier League,England,2024-04-07 20:00:00,55953,7075127,41763541
JUVENTUS,FIORENTINA,1.85,4.60,3.45,Serie A,Italy,2024-04-07 21:45:00,8035,6827089,42134721
Monza,NAPOLI,4.10,1.86,3.75,Serie A,Italy,2024-04-07 16:00:00,25955,6827102,42134725
CAGLIARI,ATALANTA,4.70,1.73,3.90,Serie A,Italy,2024-04-07 19:00:00,18769,6827103,42134713
MONACO,RENNES,1.83,3.90,4.00,Ligue 1,France,2024-04-07 18:05:00,98711,7235149,42005013
Brest,METZ,1.51,7.00,4.10,Ligue 1,France,2024-04-07 14:00:00,72163,7234158,42005025
NANTES,LYON,3.15,2.34,3.25,Ligue 1,France,2024-04-07 21:45:00,25959,7235886,42005021
Nacional,Cerro Largo,1.60,5.20,3.90,Primera Division,Uruguay,2024-04-07 00:00:00,91783,7211388,48991783
Barcelona (ECU),Cuenca,1.48,6.20,4.20,LigaPro Primera A,Ecuador,2024-04-07 02:00:00,43649,6930632,47343649
Carabobo,Rayo Zuliano,1.41,7.20,4.10,Primera Division,Venezuela,2024-04-07 00:45:00,95417,7173184,48695417
Estudiantes LP,Central Cordoba,1.49,7.00,3.90,Copa de la Liga,Argentina,2024-04-07 01:15:00,60339,7236447,46656717
Ciervos FC,CF Petroleros De Poza Rica,10.00,1.21,6.20,Liga Premier Serie B,Mexico,2024-04-07 01:00:00,91417,7267114,47923537
Aguacateros CD Uruapan,Club Deportivo de Futbol Zitacuaro,1.19,14.00,5.60,Liga Premier Serie B,Mexico,2024-04-07 01:00:00,95317,7267117,47923541
America Cali,CA Junior,1.52,6.20,4.00,Primera A Apertura,Colombia,2024-04-07 04:20:00,69769,6813386,46669769
Talleres,Independiente Riv.,1.47,6.60,4.20,Copa de la Liga,Argentina,2024-04-07 03:30:00,32601,7236800,46656757
Torque,Colon FC,1.45,6.00,4.00,Segunda Division,Uruguay,2024-04-07 02:30:00,53375,7268617,49178087
FAS,Santa Tecla,1.47,5.80,4.00,Primera Division Clausura,El Salvador,2024-04-07 04:30:00,10035,7258239,46849259
